date;weekday;weekend_jn;calls;calls_last_year;calls_last_year_same_weekday;calls_last_year_same_weekday_specialdaycorrection;checkins_known;checkouts_known;checkins_pred;checkouts_pred
2014-01-01;Donderdag;0;1410;1942;2965;1942;8320;9178;8320;9178
2014-01-02;Vrijdag;0;2930;3394;3073;3073;14820;16361;14820;16361
2014-01-03;Zaterdag;1;2691;3073;3155;3155;18375;15576;18375;15576
2014-01-04;Zondag;1;1767;3155;1538;1538;15059;11066;15059;11066
2014-01-05;Maandag;0;1374;1538;1264;1060;10100;18218;10100;18218
2014-01-06;Dinsdag;0;1331;1264;2310;1264;7729;9117;7729;9117
2014-01-07;Woensdag;0;2785;2947;2914;2914;14066;16403;14066;16403
2014-01-08;Donderdag;0;2893;2914;3120;3120;14422;15934;14422;15934
2014-01-09;Vrijdag;0;3090;3120;2456;2456;15478;17089;15478;17089
2014-01-10;Zaterdag;1;3151;2456;2606;2606;16929;17672;16929;17672
2014-01-11;Zondag;1;1906;2606;2021;2021;12191;11699;12191;11699
2014-01-12;Maandag;0;1263;2021;1173;1173;7457;12006;7457;12006
2014-01-13;Dinsdag;0;3342;1060;3023;3023;16787;18279;16787;18279
2014-01-14;Woensdag;0;3117;3023;3379;3379;15590;17083;15590;17083
2014-01-15;Donderdag;0;3191;3379;3417;3417;15972;17712;15972;17712
2014-01-16;Vrijdag;0;3153;3417;3402;3402;15997;17839;15997;17839
2014-01-17;Zaterdag;1;3042;3402;3444;3444;17098;17359;17098;17359
2014-01-18;Zondag;1;1874;3444;2195;2195;12915;11643;12915;11643
2014-01-19;Maandag;0;1392;2195;1808;1808;8461;13619;8461;13619
2014-01-20;Dinsdag;0;2734;1808;3383;3383;14453;15954;14453;15954
2014-01-21;Woensdag;0;2412;3383;3165;3165;12816;14231;12816;14231
2014-01-22;Donderdag;0;2219;3165;3617;3617;12145;13678;12145;13678
2014-01-23;Vrijdag;0;2342;3617;3440;3440;13164;14244;13164;14244
2014-01-24;Zaterdag;1;2280;3440;3150;3150;14866;14175;14866;14175
2014-01-25;Zondag;1;1457;3150;1662;1662;11939;10066;11939;10066
2014-01-26;Maandag;0;1112;1662;1322;1322;7262;13785;7262;13785
2014-01-27;Dinsdag;0;2497;1322;3679;3679;13486;15076;13486;15076
2014-01-28;Woensdag;0;2340;3679;3584;3584;12588;14042;12588;14042
2014-01-29;Donderdag;0;2364;3584;3560;3560;12675;14380;12675;14380
2014-01-30;Vrijdag;0;2285;3617;3028;3028;12749;13959;12749;13959
2014-01-31;Zaterdag;1;2477;3028;3290;3290;15350;15192;15350;15192
2014-02-01;Zondag;1;1600;3290;2401;2401;11826;10640;11826;10640
2014-02-02;Maandag;0;1310;2401;1233;1233;7840;13613;7840;13613
2014-02-03;Dinsdag;0;2673;1233;4191;4191;14074;15658;14074;15658
2014-02-04;Woensdag;0;2460;4191;3493;3493;13062;14154;13062;14154
2014-02-05;Donderdag;0;2491;3493;3411;3411;13332;14615;13332;14615
2014-02-06;Vrijdag;0;2534;3411;3639;3639;13893;15152;13893;15152
